file_name,transcription
HvugeIKJ9ok_0_10.wav, 嗯
HvugeIKJ9ok_1000_1010.wav, 壓皮的握壽司我推薦大家可以主攻壓皮的握壽司然後捲餅我覺得也不錯先吃這個好了
HvugeIKJ9ok_1008_1018.wav, 嗯這款滿好吃耶外面的味道有點那種糖醋的那種感覺然後因為它有撒檸檬皮
HvugeIKJ9ok_1032_1042.wav, 不知道是因為我剛剛吃的時候是剛補上還是怎麼樣我就很好笑這裡只有兩個香菇然後他那一排他前
HvugeIKJ9ok_1016_1026.wav, 然後因為它有撒檸檬皮所以吃起來其實有點甜甜酸酸的它的 XO 醬很好吃耶很香
HvugeIKJ9ok_1040_1050.wav, 菇然後他那一盤他寫的名字是有一個石班所以我剛剛在想說怎麼辦我怎麼撈都只有看到菇菇石班勒都完全沒有看到後來想說應該是被夾走了
HvugeIKJ9ok_1048_1058.wav, 我看到了話想說應該是被夾走了大家有發現外面現在天黑了嗎他快順便看夜景覺得滿浪漫的居然有蝦鬆我直接蝦鬆就給他吃了
HvugeIKJ9ok_104_114.wav, 我剛剛有點不知道該如何選擇然後莫名其妙就拿了一大堆了那我們現在先吃手捲因為它手捲是現包的這種海苔的東西要趕快先吃我剛剛吃下來我覺得海苔
HvugeIKJ9ok_1064_1074.wav, 清爽感跟酥脆度比較沒有出來他有放這個應該是豆薯增加它的口感來吃一下這個粥
HvugeIKJ9ok_1072_1082.wav, 這個粥加一點 XO 醬下去它味道其實很夠我剛剛覺得它的味道有點單一但是加了 XO 醬之後整個層次不一樣
HvugeIKJ9ok_1088_1098.wav, 皮有點厚、湯汁算滿多的很熱的時候吃味道還不錯我們來吃這個
HvugeIKJ9ok_1096_1106.wav, 這個有點不太中我了有一股他本人的味道滿重的那它的調味其實算偏重的所以兩個 Mix
HvugeIKJ9ok_1120_1130.wav, 非常的適中在嘴巴裡面的口感就有那種一點點那種鹹香的味道然後帶一點點辣我覺得很好吃好我們試一下我們的蝦餃
HvugeIKJ9ok_1136_1146.wav, 很滿耶蝦餃味道還不錯可能太晚吃它了都有點冷掉 可是皮都有點 QQ 的我不確定是我的問題還它的問題哎呀是一隻熊啊抱歉
HvugeIKJ9ok_1144_1154.wav, 一隻熊啊抱歉它有點濕濕的雖然它在你嘴巴的口感其實有點黏牙你怎麼可以吃熊熊
HvugeIKJ9ok_1152_1162.wav, 你怎麼可以吃熊熊唉呦是一隻蜜蜂來著嗯奶黃鹹奶黃的內餡
HvugeIKJ9ok_1160_1170.wav, 鹹奶黃的內餡我覺得這吃起來很香但剛剛那個比較偏小孩子口味這比較偏大人好我們這一區的金皮區京山區我覺得
HvugeIKJ9ok_1184_1194.wav, 那個滿好吃的我覺得那一道其實吃起來味道滿高級的
HvugeIKJ9ok_1192_1202.wav, 最後的鹹食區的鮑魚粥超多人推然後據說非常的鮮
HvugeIKJ9ok_1200_1210.wav, 然後據說非常的鮮旁邊的話這個是牛肉湯我先喝一口牛肉湯好了因為它味道實在太香了恩~
HvugeIKJ9ok_1224_1234.wav, 香菜跟蔥它的鮑魚粥鮮之餘不會太鹹我剛剛有淋了一些 XO 醬如果大家
HvugeIKJ9ok_1232_1242.wav, 我剛剛有淋了一些 XO 醬如果大家喜歡比較原汁原味你就不用像我一樣加一堆蝦米跟XO醬它有點像飯湯的那種形式它的飯還是有一點點口感
HvugeIKJ9ok_1240_1250.wav, 的飯還會有一點點口感我們小夥伴剛吃他覺得有點偏鹹但因為我剛喝完牛肉湯牛肉湯更鹹所以我再喝它我就覺得剛剛好
HvugeIKJ9ok_1248_1258.wav, 就覺得剛剛好好這個區塊鮑魚粥不錯然後牛肉湯我也覺得不錯但有點鹹如果你們要吃鮑魚粥跟牛肉湯兩個都要點的話你就先吃
HvugeIKJ9ok_1256_1266.wav, 鮑魚粥跟牛肉湯兩個都要點的話你就先吃粥再喝湯
HvugeIKJ9ok_1264_1274.wav, 冰淇淋的口味超多然後我剛剛呢就先夾了一些我有興趣的口味
HvugeIKJ9ok_1280_1290.wav, 拍攝就先不要喝我剛剛喝了啤酒呵嗚芝麻的好吃它的濃的程
HvugeIKJ9ok_1288_1298.wav, 好吃它的濃的程度剛剛好檸檬雪酪也不錯但甜度有一點高它的百香果啊是很真實的那種果
HvugeIKJ9ok_128_138.wav,  Yeah夾不起來恩
HvugeIKJ9ok_1296_1306.wav, 是很真實的那種果香的味道因為白香果本來裡面就有籽嘛所以他也要想那個口感會有那個籽的存在這個就要看個人喜不喜歡啊
HvugeIKJ9ok_1304_1314.wav, 你喜不喜歡啊嗯我先講他冰淇淋區他其實口味非常多然後我只有吃這五種的話我個人喜歡
HvugeIKJ9ok_1312_1322.wav, 這五種的話我個人喜歡它的芝麻口味檸檬奶酪偏甜我覺得算還 OK 正常可以接受的味道然後杏仁燕麥其實我滿推薦大家
HvugeIKJ9ok_1328_1338.wav, 很溫和的上來之後就會有那個燕麥的麥香說真的我覺得有點偏長輩的味道沒有聲音
HvugeIKJ9ok_1336_1346.wav, 沒有聲音有沒有看到那個香草籽它這個焦糖布丁唯一的缺點就只有它那個糖有點薄整個配起來我覺得
HvugeIKJ9ok_1344_1354.wav, 有點薄整個配起來我覺得還滿好吃的這我可以吃十個它長得...
HvugeIKJ9ok_1352_1362.wav, 外酥內濕潤不過我個人口味喜歡再濕一點點這邊是為您準備的現烤舒芙蕾這是我們晚上期間
HvugeIKJ9ok_1360_1370.wav, 舒芙蕾這是我們晚上期間限定的喔舒芙蕾上桌我們這個先移到旁邊能舒服喔
HvugeIKJ9ok_1368_1378.wav, 服喔我的燈不見了我又回來了它的口感裡面是
HvugeIKJ9ok_136_146.wav, 有人生魚片呈現的方式是這樣筷子比較好筷子比較好看我被阻止了恩
HvugeIKJ9ok_1376_1386.wav, 它的口感裡面是濕潤的然後外面酥酥的那種口感這是紅茶的味道耶它是伯爵紅茶舒芙蕾我們來把這個珍珠奶茶給他倒
HvugeIKJ9ok_1384_1394.wav, 我們來把這個珍珠奶茶給他倒進去等一下唉呦
HvugeIKJ9ok_1400_1410.wav, 這個還有銀色的那種一點很像星空的感覺那一夜望著星空好沒關係我們先這樣好了我們還是來吃他好了
HvugeIKJ9ok_1408_1418.wav, 我們先這樣好了我們還是來吃他好了吃起來滿像果凍的它的檸檬塔
HvugeIKJ9ok_1416_1426.wav, 檸檬塔塔皮有點濕掉了可是它的酸度非常剛好這個我可以喔抹茶的
HvugeIKJ9ok_1432_1442.wav, 乳酪蛋糕微微帶酸味的乳酪蛋糕如果你怕會膩口的你就可以試試看這個那我喜歡上面乳
HvugeIKJ9ok_1440_1450.wav, 就可以試試看這個那我喜歡上面乳酪再濃一點點再來換這個這個味道還不錯耶苦甜焦糖的味道有點膩口的時候你上面配那個果乾
HvugeIKJ9ok_1448_1458.wav, 膩口的時候你上面配那個果乾啊就會滿剛好的這滿好吃的ㄝ小孩子口味的巧克力巧克力磚
HvugeIKJ9ok_1448_1458_1.wav, 膩口的時候你上面配那個果乾啊就會滿剛好的這滿好吃的耶小孩子口味的巧克力巧克力磚
HvugeIKJ9ok_1488_1498.wav, 馬卡龍我意外的也覺得還不錯還有抹茶的那個塔這幾個我都覺得還 OK 但是它有一個缺點就是它的內餡 OK 可是它的塔皮都有點偏軟我覺得這有點小可惜
HvugeIKJ9ok_1496_1506.wav, 我覺得有點小可惜吃完了我們的饗饗的幾乎是全品項開箱因為有一些如果剛剛有空位
HvugeIKJ9ok_1504_1514.wav, 因為有一些如果剛剛有空位沒有的話就沒有吃到我覺得整體吃下來意外的還不錯耶就是有一些品項他沒有到讓你會驚豔可是我覺得至少
HvugeIKJ9ok_1520_1530.wav, 是男女老少都可以來吃就很適合家庭聚餐不管你是喜歡吃哪一種口味但在這裡都可以找到你個人喜歡的那種口味然後來吃
HvugeIKJ9ok_152_162.wav, 味道也不錯就是那種淡淡的魚的甜味像鮪魚我剛剛吃到的是剛好它中間有一條筋所以咬起來口感會稍微比較韌一點點我來先吃蝦子的我等一下再吃炙燒
HvugeIKJ9ok_1536_1546.wav, 這個夜景是不是相當的美麗呢剛剛我有問了一輪我們的那個小夥伴就是美編跟銀針都是投炸蝦炸蝦真的很好吃啊我是有跟另外一個
HvugeIKJ9ok_1544_1554.wav, 我是有跟另外一個那個夥伴是投干貝然後我自己的話呢我覺得我覺得吃太多了我現在有點忘記了
HvugeIKJ9ok_1552_1562.wav, 吃太多了我現在有點忘記了等我一下喔炙燒的比目魚我覺得他應該是我可以吃十貫的那一種炸蝦味覺得滿好吃但是一定要點原味干貝我自己
HvugeIKJ9ok_1560_1570.wav, 但是一定要點原味干貝我自己也覺得不錯再來的話請各位一定要點酥皮濃湯他的酥皮是一絲一絲一絲很像
HvugeIKJ9ok_1568_1578.wav, 一絲一絲一絲很像可頌所以它其實濃湯雖然口味上還好可是你這樣沾下去之後立刻撈起來吃那個脆脆的感覺我覺得很棒耶甜點的部分的話
HvugeIKJ9ok_1584_1594.wav, 饗饗的開箱大家如果有吃過其他更推薦的 Buffet 或是這類型的東西也可以在下面留言推薦給我那今天的影片就到這非常感謝大家看我的影片掰掰
HvugeIKJ9ok_1592_1602.wav, 的影片拜拜電梯門突然開了嚇我一跳
HvugeIKJ9ok_160_170.wav, 吃蝦子的我等一下再吃炙燒先來吃這個蝦子欸蝦子蝦子
HvugeIKJ9ok_168_178.wav, 蝦子然後這個是甜蝦它甜蝦上面放那個碎的那個
HvugeIKJ9ok_16_26.wav, 嗨大家我現在呢要來去拍我從來沒有拍過的題材欸也不算從來沒有拍過的
HvugeIKJ9ok_176_186.wav, 它甜椒上面還有放那個碎的那個紫蘇葉恩~ 我喜歡的比目魚鰭邊的炙燒
HvugeIKJ9ok_184_194.wav, 鰭邊的炙燒它入口直接就化掉了比目魚鰭邊它其
HvugeIKJ9ok_192_202.wav, 化掉了比目魚鰭邊它其實如果你沒有炙燒過它的口感是偏 Q 的我超愛它炙燒過後的口感然後這是鮭魚
HvugeIKJ9ok_208_218.wav, 干貝很鮮耶我以為這種小小的應該還好牛肉
HvugeIKJ9ok_232_242.wav, 或是其他的調味所以你在入口的時候他就會有很多不同層次的變化你就會覺得非常的幸福好了接下來要來進到我們的重點了他這個螃蟹這只有晚餐時
HvugeIKJ9ok_248_258.wav, 磯煮的鮑魚不要沒中我我們來吃我們的螃蟹欸近拍它他這個太多了吧我先幫它淋一點醋
HvugeIKJ9ok_256_266_1.wav, 我先幫它淋一點醋然後有時候就會再切一些那個生的蒜頭合在一起哇那個真的しあわせ
HvugeIKJ9ok_264_274.wav, 我覺得其他區可以不用開箱了你們今天就主攻這個就好而且我剛剛挖這麼一大口你們看這裡面還有耶
HvugeIKJ9ok_280_290.wav, 那個一定要試試看淋醋因為我覺得加醋超級無敵加分來吃吃看這個這個是沙母喔你看他的腮也幫你去掉了
HvugeIKJ9ok_288_298.wav, 去掉了哇剛剛那個比起來我更喜歡這個因為這個呢鮮甜味更重
